Title,Handle,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Status,Collection
Supreme Idly Podi,supreme-idly-podi,"<p>Supreme Idly Podi is our signature creation and the hero of House of Kumaran — a bold, aromatic, and authentically crafted South Indian spice blend made using time-honoured home-style roasting methods. Prepared with premium lentils, sun-dried red chillies, fresh curry leaves, and a touch of traditional sesame, this podi delivers a rich, nutty flavour with a warm, balanced heat.</p><p>Every spoonful carries the essence of Tamil household kitchens, where idli podi has been a daily staple for generations. Whether you're new to podi or already a fan, our Supreme Idly Podi brings a depth of taste that lifts even the simplest idli or dosa into a gourmet experience.</p><h4>Direction of Use</h4><ul><li>Mix 1–2 teaspoons of podi with sesame oil or ghee and enjoy with hot idlis, dosas, uttapams, or paniyaram</li><li>Sprinkle over ghee rice, curd rice, or upma for an instant flavour boost</li><li>Use as a seasoning for roasted vegetables, chips, fries, or even popcorn</li></ul>",House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Spice Pastes & Curry Pastes,Podi,"podi, spice-powder, traditional, bestseller, south-indian, idly, dosa, breakfast, signature, hero-product",TRUE,Weight,200g,,,,,HOK-PODI-001,200,shopify,100,deny,manual,179,349,TRUE,TRUE,,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=800,1,Supreme Idly Podi - Signature South Indian Spice Powder,FALSE,Supreme Idly Podi | Signature South Indian Spice Powder | House of Kumaran,Buy authentic Supreme Idly Podi made with time-honoured home-style roasting. Premium lentils and sun-dried red chillies. 100% natural with zero preservatives.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PODI-001,new,active,Podis
Dosai Milagai Podi,dosai-milagai-podi,"<p>Perfect companion for crispy dosas. Our Dosai Milagai Podi is specially crafted with a slightly different spice ratio to complement the texture and taste of dosas. Made with roasted red chilies, urad dal, and aromatic spices.</p><ul><li>Specially formulated for dosas</li><li>Stone-ground using traditional methods</li><li>No artificial colors or preservatives</li></ul>",House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Spice Pastes & Curry Pastes,Podi,"podi, spice-powder, traditional, south-indian, dosa, breakfast",TRUE,Weight,200g,,,,,HOK-PODI-002,200,shopify,100,deny,manual,150,180,TRUE,TRUE,,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=800,1,Dosai Milagai Podi - Traditional South Indian Spice Powder,FALSE,Dosai Milagai Podi | Authentic South Indian Spice Powder | House of Kumaran,Buy authentic Dosai Milagai Podi made with traditional stone-grinding methods. Perfect for dosa and breakfast. 100% natural with zero preservatives.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PODI-002,new,active,Podis
Paruppu Podi,paruppu-podi,"<p>Aromatic dal powder made with toor dal, chana dal, and a blend of spices. Perfect accompaniment for hot rice with a drizzle of ghee. This protein-rich podi is a staple in every South Indian household.</p><ul><li>High protein content from premium dals</li><li>Freshly ground spices</li><li>Traditional family recipe</li></ul>",House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Spice Pastes & Curry Pastes,Podi,"podi, spice-powder, traditional, protein-rich, healthy, south-indian, rice",TRUE,Weight,200g,,,,,HOK-PODI-003,200,shopify,100,deny,manual,140,160,TRUE,TRUE,,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=800,1,Paruppu Podi - Protein Rich Dal Powder,FALSE,Paruppu Podi | Protein Rich Dal Powder | House of Kumaran,Authentic Paruppu Podi made with premium toor dal and chana dal. High protein traditional South Indian condiment. Perfect with hot rice and ghee.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PODI-003,new,active,Podis
Karuvepillai Podi,karuvepillai-podi,<p>Fresh curry leaves roasted and ground with urad dal and spices. This aromatic podi is rich in iron and has numerous health benefits. A must-have for curry leaf lovers.</p><ul><li>Made with fresh curry leaves</li><li>Rich in iron and antioxidants</li><li>Freshly prepared in small batches</li></ul>,House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Spice Pastes & Curry Pastes,Podi,"podi, spice-powder, traditional, healthy, iron-rich, curry-leaves",TRUE,Weight,200g,,,,,HOK-PODI-004,150,shopify,100,deny,manual,160,190,TRUE,TRUE,,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=800,1,Karuvepillai Podi - Curry Leaf Powder,FALSE,Karuvepillai Podi | Curry Leaf Powder | House of Kumaran,Fresh Karuvepillai Podi made with aromatic curry leaves. Rich in iron and antioxidants. Traditional South Indian recipe with zero preservatives.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PODI-004,new,active,Podis
Pudina Podi,pudina-podi,"<p>Refreshing mint podi made with fresh pudina leaves, roasted lentils, and aromatic spices. This cooling podi is perfect for summer and adds a unique twist to your meals.</p><ul><li>Made with fresh mint leaves</li><li>Cooling and refreshing flavor</li><li>Perfect for hot weather</li></ul>",House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Spice Pastes & Curry Pastes,Podi,"podi, spice-powder, traditional, healthy, mint, pudina, cooling, summer",TRUE,Weight,200g,,,,,HOK-PODI-005,150,shopify,100,deny,manual,160,190,TRUE,TRUE,,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=800,1,Pudina Podi - Refreshing Mint Powder,FALSE,Pudina Podi | Refreshing Mint Powder | House of Kumaran,Fresh Pudina Podi made with aromatic mint leaves. Cooling and refreshing flavor. Traditional South Indian recipe.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PODI-005,new,active,Podis
Kothamalli Podi,kothamalli-podi,"<p>Aromatic coriander podi made with fresh kothamalli (coriander) leaves and seeds. This fragrant podi adds a burst of freshness to rice, idli, and dosa.</p><ul><li>Made with fresh coriander leaves and seeds</li><li>Highly aromatic and flavorful</li><li>Traditional South Indian recipe</li></ul>",House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Spice Pastes & Curry Pastes,Podi,"podi, spice-powder, traditional, healthy, coriander, kothamalli, aromatic",TRUE,Weight,200g,,,,,HOK-PODI-006,150,shopify,100,deny,manual,160,190,TRUE,TRUE,,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=800,1,Kothamalli Podi - Coriander Powder,FALSE,Kothamalli Podi | Aromatic Coriander Powder | House of Kumaran,Aromatic Kothamalli Podi made with fresh coriander leaves and seeds. Traditional South Indian recipe with burst of freshness.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PODI-006,new,active,Podis
Sambar Podi,sambar-podi,"<p>The heart of South Indian cooking - our Sambar Podi is a carefully crafted blend of coriander, red chilies, fenugreek, and aromatic spices. Makes the perfect sambar every time.</p><ul><li>Authentic Chettinad recipe</li><li>Perfectly balanced spice blend</li><li>Fresh ground for maximum aroma</li></ul>",House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Spice Pastes & Curry Pastes,Podi,"podi, spice-powder, traditional, bestseller, sambar, south-indian, cooking-essential",TRUE,Weight,200g,,,,,HOK-PODI-007,200,shopify,100,deny,manual,130,150,TRUE,TRUE,,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=800,1,Sambar Podi - Traditional Sambar Spice Mix,FALSE,Sambar Podi | Authentic Sambar Powder | House of Kumaran,Make perfect sambar every time with our authentic Sambar Podi. Traditional Chettinad recipe with premium spices. No artificial additives.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PODI-007,new,active,Podis
Puliyodarai Podi,puliyodarai-podi,"<p>The secret to perfect temple-style Puliyodarai (Tamarind Rice). Our special blend includes sesame, peanuts, and aromatic spices roasted to perfection.</p><ul><li>Temple-style authentic recipe</li><li>Includes sesame and peanuts</li><li>Ready to use with tamarind paste</li></ul>",House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Spice Pastes & Curry Pastes,Podi,"podi, spice-powder, traditional, bestseller, puliyodarai, tamarind-rice, temple-food",TRUE,Weight,200g,,,,,HOK-PODI-008,200,shopify,100,deny,manual,170,200,TRUE,TRUE,,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=800,1,Puliyodarai Podi - Tamarind Rice Spice Mix,FALSE,Puliyodarai Podi | Tamarind Rice Mix | House of Kumaran,Make authentic temple-style Puliyodarai with our special spice mix. Includes roasted sesame and peanuts. Traditional recipe from Madras.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PODI-008,new,active,Podis
Vathakuzhambu Podi,vathakuzhambu-podi,<p>Authentic spice blend for making the tangy and spicy Vathakuzhambu. Made with tamarind-friendly spices that enhance the sour-spicy flavor of this classic Tamil dish.</p><ul><li>Perfect for Vathakuzhambu preparation</li><li>Tangy and spicy flavor profile</li><li>Traditional Tamil Nadu recipe</li></ul>,House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Spice Pastes & Curry Pastes,Podi,"podi, spice-powder, traditional, vathakuzhambu, tamil-nadu, tangy, cooking-essential",TRUE,Weight,200g,,,,,HOK-PODI-009,200,shopify,100,deny,manual,140,170,TRUE,TRUE,,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=800,1,Vathakuzhambu Podi - Tangy Curry Spice Mix,FALSE,Vathakuzhambu Podi | Traditional Curry Spice Mix | House of Kumaran,Make authentic Vathakuzhambu with our traditional spice blend. Tangy and spicy Tamil Nadu recipe.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PODI-009,new,active,Podis
Kollu Podi,kollu-podi,"<p>Nutritious horse gram podi known for its weight management benefits. Made with roasted kollu and aromatic spices. A healthy addition to your diet with earthy, rustic flavors.</p><ul><li>Made with premium horse gram</li><li>Aids in weight management</li><li>High protein and fiber content</li></ul>",House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Spice Pastes & Curry Pastes,Podi,"podi, spice-powder, traditional, healthy, kollu, horse-gram, weight-management, protein",TRUE,Weight,200g,,,,,HOK-PODI-010,200,shopify,100,deny,manual,150,180,TRUE,TRUE,,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=800,1,Kollu Podi - Horse Gram Powder,FALSE,Kollu Podi | Nutritious Horse Gram Powder | House of Kumaran,Healthy Kollu Podi made with premium horse gram. Aids in weight management. High protein traditional South Indian recipe.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PODI-010,new,active,Podis
